epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,0m7s,0.0100,0.7184,0.5764,0.5633,0.7581,
1,0m3s,0.0100,0.6714,0.5972,0.6659,0.7581,
2,0m3s,0.0100,0.5969,0.7500,0.6108,0.7097,
3,0m3s,0.0100,0.2826,0.8958,0.6506,0.7097,
4,0m3s,0.0100,0.2361,0.8819,0.7800,0.7097,
5,0m4s,0.0100,0.1069,0.9722,0.9464,0.7097,
6,0m3s,0.0100,0.1295,0.9583,0.9337,0.6774,
7,0m3s,0.0100,0.1670,0.9583,1.0502,0.6774,
8,0m3s,0.0100,0.1092,0.9583,0.6108,0.8065,
9,0m3s,0.0100,0.1255,0.9583,1.6180,0.7742,
10,0m4s,0.0010,0.1658,0.9097,1.4069,0.7419,
11,0m4s,0.0010,0.1059,0.9583,1.0616,0.8065,
12,0m3s,0.0010,0.0743,0.9722,0.9937,0.7903,
13,0m3s,0.0010,0.0456,0.9792,0.9565,0.7419,
14,0m4s,0.0010,0.0526,0.9861,0.9860,0.7742,
15,0m3s,0.0010,0.0383,0.9861,1.0040,0.7258,
16,0m3s,0.0010,0.0362,0.9861,1.0168,0.6935,
17,0m3s,0.0010,0.0232,0.9931,1.0405,0.7097,
18,0m3s,0.0010,0.0224,1.0000,1.0576,0.7258,
19,0m3s,0.0010,0.0262,1.0000,0.9872,0.7581,
20,0m3s,0.0001,0.0214,0.9931,0.9779,0.7742,
21,0m4s,0.0001,0.0118,1.0000,0.9754,0.7581,
22,0m3s,0.0001,0.0173,1.0000,0.9849,0.7581,
23,0m3s,0.0001,0.0263,0.9931,0.9592,0.7581,
24,0m3s,0.0001,0.0273,0.9931,0.9446,0.7581,
25,0m3s,0.0001,0.0144,1.0000,0.9429,0.7581,
26,0m3s,0.0001,0.0201,0.9931,0.9347,0.7581,
27,0m4s,0.0001,0.0139,1.0000,0.9273,0.7742,
28,0m3s,0.0001,0.0139,1.0000,0.9266,0.7581,
29,0m3s,0.0001,0.0139,1.0000,0.9385,0.7581,
