epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,39m39s,0.0100,0.9531,0.5739,1.3874,0.2760,0.3599
1,34m3s,0.0100,0.7234,0.6760,1.1693,0.3165,0.4628
2,33m36s,0.0100,0.6699,0.6991,1.0749,0.4916,0.5236
3,33m41s,0.0100,0.6431,0.7135,0.8408,0.6617,0.5992
4,33m15s,0.0100,0.6229,0.7235,0.9185,0.6387,0.5462
5,33m18s,0.0100,0.6078,0.7319,1.0727,0.4473,0.5178
6,33m6s,0.0100,0.5914,0.7405,0.8194,0.6986,0.6246
7,32m58s,0.0100,0.5800,0.7470,1.0758,0.4974,0.5000
8,33m3s,0.0100,0.5647,0.7551,1.2541,0.4102,0.4185
9,33m11s,0.0100,0.5552,0.7613,1.1143,0.4772,0.5314
10,33m21s,0.0010,0.2977,0.8805,0.9391,0.6684,0.6037
11,33m15s,0.0010,0.1946,0.9244,0.9894,0.6877,0.6057
12,33m16s,0.0010,0.1529,0.9417,1.0039,0.6932,0.6178
13,33m13s,0.0010,0.1285,0.9518,0.9251,0.7706,0.6626
14,33m25s,0.0010,0.1140,0.9578,0.9758,0.7364,0.6338
15,33m26s,0.0010,0.1047,0.9616,0.9667,0.7487,0.6669
16,33m24s,0.0010,0.0969,0.9647,0.9856,0.7417,0.6538
17,33m4s,0.0010,0.0942,0.9660,0.9663,0.7566,0.6643
18,33m25s,0.0010,0.0896,0.9678,0.9893,0.7538,0.6657
19,33m17s,0.0010,0.0899,0.9677,0.9850,0.7540,0.6544
20,33m35s,0.0001,0.0343,0.9899,0.9843,0.7885,0.6823
21,33m11s,0.0001,0.0190,0.9953,1.0002,0.7948,0.6856
22,33m21s,0.0001,0.0149,0.9963,1.0226,0.7981,0.6925
23,33m13s,0.0001,0.0128,0.9969,1.0373,0.7940,0.6800
24,33m14s,0.0001,0.0108,0.9975,1.0414,0.7893,0.6821
25,33m26s,0.0001,0.0095,0.9979,1.0677,0.7983,0.6875
26,33m10s,0.0001,0.0088,0.9980,1.0751,0.8004,0.6892
27,33m14s,0.0001,0.0084,0.9981,1.1042,0.7983,0.6789
28,33m22s,0.0001,0.0074,0.9984,1.1049,0.7999,0.6777
29,31m13s,0.0001,0.0068,0.9986,1.1026,0.7933,0.6789
