epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,31m46s,0.0100,0.9069,0.5957,1.3321,0.4095,0.3719
1,31m34s,0.0100,0.6891,0.6911,0.9183,0.6357,0.5476
2,31m35s,0.0100,0.6357,0.7187,0.9533,0.6232,0.5655
3,31m39s,0.0100,0.6019,0.7371,1.0429,0.5409,0.5070
4,31m38s,0.0100,0.5684,0.7553,1.1115,0.4924,0.4746
5,31m39s,0.0100,0.5474,0.7665,0.9858,0.5823,0.5459
6,31m39s,0.0100,0.5231,0.7788,1.1402,0.5183,0.5161
7,31m38s,0.0100,0.5036,0.7880,0.9584,0.6193,0.4835
8,31m39s,0.0100,0.4863,0.7964,1.0752,0.5581,0.5155
9,31m38s,0.0100,0.4684,0.8049,1.3486,0.4475,0.4363
10,31m38s,0.0010,0.1968,0.9239,0.9614,0.7271,0.5961
11,31m39s,0.0010,0.1124,0.9583,1.0305,0.7404,0.5927
12,31m38s,0.0010,0.0828,0.9702,1.1123,0.7171,0.5579
13,31m36s,0.0010,0.0664,0.9769,1.1267,0.7558,0.6023
14,31m22s,0.0010,0.0593,0.9794,1.1727,0.7151,0.5721
15,31m22s,0.0010,0.0546,0.9810,1.1626,0.7439,0.5837
16,31m21s,0.0010,0.0529,0.9815,1.1716,0.7360,0.5770
17,31m20s,0.0010,0.0520,0.9823,1.1492,0.7248,0.6046
18,31m18s,0.0010,0.0523,0.9821,1.1458,0.7585,0.6080
19,31m19s,0.0010,0.0529,0.9819,1.1729,0.7490,0.5967
20,31m16s,0.0001,0.0194,0.9946,1.2137,0.7751,0.6104
21,31m14s,0.0001,0.0100,0.9979,1.2515,0.7767,0.6099
22,31m11s,0.0001,0.0071,0.9986,1.2654,0.7779,0.6133
23,31m5s,0.0001,0.0058,0.9990,1.2820,0.7775,0.6076
24,31m2s,0.0001,0.0051,0.9992,1.3187,0.7786,0.6045
25,30m57s,0.0001,0.0049,0.9992,1.3312,0.7784,0.6072
26,30m55s,0.0001,0.0044,0.9993,1.3350,0.7786,0.6124
27,30m53s,0.0001,0.0044,0.9993,1.3406,0.7743,0.6092
28,30m55s,0.0001,0.0040,0.9993,1.3604,0.7789,0.6076
29,30m54s,0.0001,0.0040,0.9994,1.3708,0.7839,0.6121
