epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,7m7s,0.0100,0.9124,0.5911,1.2493,0.3301,0.4232
1,6m60s,0.0100,0.6967,0.6867,1.4209,0.2393,0.3249
2,7m6s,0.0100,0.6503,0.7108,1.0187,0.5228,0.5099
3,7m2s,0.0100,0.6313,0.7219,1.0024,0.5630,0.4680
4,7m4s,0.0100,0.6176,0.7292,1.0028,0.5756,0.4702
5,7m1s,0.0100,0.6064,0.7372,0.9645,0.6016,0.5337
6,7m18s,0.0100,0.5919,0.7439,0.8132,0.7191,0.5551
7,14m51s,0.0100,0.5797,0.7501,0.8277,0.6941,0.5652
8,7m55s,0.0100,0.5657,0.7580,0.9771,0.5910,0.5159
9,8m60s,0.0100,0.5544,0.7636,0.8934,0.6549,0.5314
10,7m49s,0.0010,0.2961,0.8824,0.9540,0.6634,0.5402
11,7m43s,0.0010,0.2031,0.9212,1.0128,0.6769,0.5480
12,7m31s,0.0010,0.1607,0.9388,1.0382,0.6894,0.5598
13,7m32s,0.0010,0.1316,0.9515,1.0550,0.7029,0.5576
14,7m32s,0.0010,0.1153,0.9581,1.0578,0.7387,0.5899
15,7m30s,0.0010,0.1019,0.9633,1.1609,0.6879,0.5349
16,7m30s,0.0010,0.0930,0.9673,1.1583,0.6899,0.5687
17,7m35s,0.0010,0.0887,0.9687,1.0782,0.7495,0.5872
18,7m28s,0.0010,0.0837,0.9708,1.1351,0.7047,0.5771
19,7m33s,0.0010,0.0816,0.9716,1.1184,0.7572,0.5834
20,7m31s,0.0001,0.0377,0.9899,1.0587,0.7554,0.6090
21,7m33s,0.0001,0.0255,0.9943,1.0879,0.7606,0.6024
22,7m31s,0.0001,0.0210,0.9957,1.0811,0.7635,0.6088
23,7m31s,0.0001,0.0185,0.9966,1.0816,0.7642,0.6096
24,7m34s,0.0001,0.0168,0.9971,1.1019,0.7647,0.6054
25,7m36s,0.0001,0.0154,0.9975,1.1214,0.7664,0.6016
26,7m29s,0.0001,0.0148,0.9976,1.1317,0.7690,0.6063
27,7m33s,0.0001,0.0137,0.9979,1.1096,0.7658,0.6114
28,7m30s,0.0001,0.0128,0.9982,1.1227,0.7690,0.6012
29,7m27s,0.0001,0.0124,0.9983,1.0999,0.7651,0.6105
