epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,35m47s,0.0100,0.8920,0.5976,1.0349,0.4863,0.5200
1,27m0s,0.0100,0.6796,0.6942,1.5824,0.2559,0.2202
2,26m20s,0.0100,0.6293,0.7213,0.8203,0.7213,0.5696
3,26m25s,0.0100,0.6111,0.7313,1.1555,0.3845,0.4740
4,26m19s,0.0100,0.5989,0.7391,1.1000,0.5579,0.4475
5,26m41s,0.0100,0.5883,0.7438,0.8848,0.6472,0.6001
6,25m49s,0.0100,0.5753,0.7512,0.8881,0.7096,0.5268
7,25m1s,0.0100,0.5619,0.7589,1.0497,0.5322,0.5131
8,24m56s,0.0100,0.5516,0.7641,1.6176,0.2810,0.2448
9,25m3s,0.0100,0.5393,0.7703,0.9596,0.6015,0.5803
10,24m43s,0.0010,0.2830,0.8888,0.9195,0.6769,0.5994
11,25m42s,0.0010,0.1900,0.9278,0.8715,0.7437,0.6545
12,25m17s,0.0010,0.1494,0.9439,1.0079,0.6946,0.5828
13,25m18s,0.0010,0.1229,0.9553,0.9641,0.7246,0.6437
14,24m38s,0.0010,0.1050,0.9620,1.0407,0.7074,0.6157
15,25m24s,0.0010,0.0947,0.9665,0.9822,0.7615,0.6634
16,25m12s,0.0010,0.0873,0.9694,0.9890,0.7571,0.6277
17,24m59s,0.0010,0.0793,0.9727,1.0159,0.7563,0.6267
18,24m43s,0.0010,0.0767,0.9736,1.0076,0.7509,0.6386
19,24m36s,0.0010,0.0748,0.9740,1.0199,0.7592,0.6390
20,24m47s,0.0001,0.0338,0.9911,0.9859,0.7776,0.6536
21,24m43s,0.0001,0.0227,0.9953,0.9989,0.7847,0.6581
22,25m29s,0.0001,0.0192,0.9962,1.0000,0.7828,0.6634
23,24m47s,0.0001,0.0171,0.9967,1.0064,0.7876,0.6633
24,25m9s,0.0001,0.0156,0.9973,1.0072,0.7837,0.6591
25,24m53s,0.0001,0.0145,0.9977,1.0171,0.7903,0.6641
26,24m48s,0.0001,0.0134,0.9979,1.0088,0.7869,0.6623
27,24m55s,0.0001,0.0125,0.9982,1.0392,0.7927,0.6600
28,25m13s,0.0001,0.0121,0.9983,1.0145,0.7855,0.6582
29,22m11s,0.0001,0.0114,0.9984,1.0282,0.7913,0.6646
