epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,21m59s,0.0100,0.9177,0.5900,1.0611,0.5597,0.4997
1,21m60s,0.0100,0.7337,0.6696,1.0481,0.5816,0.4342
2,21m60s,0.0100,0.6910,0.6902,0.9097,0.6525,0.5483
3,22m1s,0.0100,0.6703,0.7014,1.0542,0.5512,0.4212
4,22m4s,0.0100,0.6486,0.7130,1.0887,0.5094,0.4117
5,22m3s,0.0100,0.6278,0.7238,1.3168,0.3462,0.3679
6,22m3s,0.0100,0.6104,0.7335,1.0585,0.5146,0.4932
7,22m3s,0.0100,0.5957,0.7404,0.9300,0.6459,0.5018
8,22m4s,0.0100,0.5755,0.7514,0.9204,0.6340,0.5557
9,22m3s,0.0100,0.5655,0.7562,1.2340,0.5012,0.3772
10,22m5s,0.0010,0.2851,0.8850,0.9827,0.6641,0.5636
11,22m4s,0.0010,0.1801,0.9294,0.9680,0.7224,0.5950
12,22m5s,0.0010,0.1332,0.9498,1.0311,0.7306,0.5875
13,22m4s,0.0010,0.1072,0.9607,1.0924,0.7003,0.5549
14,22m5s,0.0010,0.0906,0.9670,1.0721,0.7141,0.5602
15,22m5s,0.0010,0.0791,0.9717,1.1785,0.7213,0.5557
16,22m4s,0.0010,0.0747,0.9736,1.1227,0.7301,0.5708
17,22m5s,0.0010,0.0701,0.9752,1.1165,0.7336,0.5821
18,21m51s,0.0010,0.0680,0.9759,1.1787,0.7323,0.5540
19,21m47s,0.0010,0.0669,0.9764,1.1421,0.7361,0.5707
20,21m46s,0.0001,0.0247,0.9931,1.1551,0.7686,0.5995
21,21m46s,0.0001,0.0140,0.9969,1.1746,0.7711,0.5918
22,21m47s,0.0001,0.0106,0.9979,1.1936,0.7760,0.6013
23,21m47s,0.0001,0.0088,0.9985,1.1923,0.7758,0.5987
24,21m47s,0.0001,0.0076,0.9988,1.2084,0.7752,0.5871
25,21m47s,0.0001,0.0070,0.9988,1.2032,0.7766,0.5934
26,21m45s,0.0001,0.0061,0.9992,1.2146,0.7757,0.5867
27,21m46s,0.0001,0.0058,0.9992,1.2014,0.7756,0.5946
28,21m46s,0.0001,0.0054,0.9993,1.2524,0.7798,0.5896
29,21m46s,0.0001,0.0051,0.9993,1.2307,0.7779,0.5916
