epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,38m3s,0.0100,0.9233,0.5866,0.8558,0.6934,0.6353
1,34m10s,0.0100,0.7447,0.6660,1.1221,0.4729,0.4502
2,33m58s,0.0100,0.7024,0.6856,0.8500,0.7004,0.5994
3,33m47s,0.0100,0.6845,0.6944,1.2407,0.3241,0.4071
4,33m32s,0.0100,0.6625,0.7050,0.9847,0.5687,0.5744
5,32m17s,0.0100,0.6483,0.7107,0.8802,0.7185,0.5682
6,33m19s,0.0100,0.6338,0.7182,0.8643,0.6972,0.5778
7,33m4s,0.0100,0.6213,0.7248,1.0551,0.4921,0.4954
8,33m5s,0.0100,0.6104,0.7307,1.2589,0.3236,0.4063
9,32m47s,0.0100,0.5988,0.7371,0.8674,0.6900,0.5558
10,32m52s,0.0010,0.3478,0.8567,0.9039,0.6626,0.6277
11,33m4s,0.0010,0.2376,0.9057,0.9792,0.6626,0.6012
12,32m55s,0.0010,0.1849,0.9291,0.8954,0.7315,0.6563
13,32m60s,0.0010,0.1529,0.9421,0.9307,0.7290,0.6431
14,33m6s,0.0010,0.1316,0.9509,0.9271,0.7575,0.6621
15,33m11s,0.0010,0.1163,0.9576,0.9631,0.7359,0.6421
16,33m19s,0.0010,0.1077,0.9609,1.0422,0.7070,0.6136
17,32m58s,0.0010,0.0999,0.9635,0.9782,0.7479,0.6465
18,33m49s,0.0010,0.0966,0.9655,0.9929,0.7811,0.6562
19,32m48s,0.0010,0.0910,0.9676,1.1010,0.6948,0.6097
20,31m59s,0.0001,0.0355,0.9897,0.9945,0.7823,0.6715
21,33m23s,0.0001,0.0210,0.9949,1.0152,0.7828,0.6723
22,33m37s,0.0001,0.0168,0.9962,1.0298,0.7875,0.6755
23,33m15s,0.0001,0.0146,0.9968,1.0296,0.7857,0.6751
24,33m10s,0.0001,0.0126,0.9975,1.0775,0.7953,0.6694
25,33m33s,0.0001,0.0115,0.9976,1.0573,0.7891,0.6683
26,33m17s,0.0001,0.0103,0.9980,1.0744,0.7927,0.6686
27,32m51s,0.0001,0.0094,0.9983,1.0732,0.7911,0.6737
28,32m47s,0.0001,0.0089,0.9984,1.0600,0.7908,0.6680
29,33m28s,0.0001,0.0081,0.9988,1.0939,0.7921,0.6680
