epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,18m39s,0.0100,0.8784,0.6092,1.3378,0.3207,0.3917
1,18m40s,0.0100,0.6820,0.6963,1.0212,0.5312,0.5066
2,18m40s,0.0100,0.6463,0.7151,1.4902,0.3001,0.2846
3,18m41s,0.0100,0.6156,0.7294,1.1793,0.4341,0.4276
4,18m42s,0.0100,0.5858,0.7468,0.9223,0.6117,0.5472
5,18m42s,0.0100,0.5631,0.7579,0.9456,0.6105,0.5386
6,18m43s,0.0100,0.5445,0.7678,0.9640,0.6094,0.5458
7,18m42s,0.0100,0.5253,0.7776,1.0301,0.5798,0.5173
8,18m43s,0.0100,0.5058,0.7869,1.1273,0.5061,0.4176
9,18m42s,0.0100,0.4940,0.7927,1.1762,0.5104,0.4406
10,18m43s,0.0010,0.2188,0.9149,0.9339,0.7251,0.5969
11,18m42s,0.0010,0.1265,0.9533,1.0205,0.7172,0.5752
12,18m43s,0.0010,0.0892,0.9683,1.0571,0.7165,0.5743
13,18m43s,0.0010,0.0682,0.9765,1.0521,0.7458,0.5963
14,18m43s,0.0010,0.0576,0.9802,1.1076,0.7399,0.6014
15,18m42s,0.0010,0.0498,0.9838,1.1295,0.7497,0.5942
16,18m43s,0.0010,0.0465,0.9847,1.1054,0.7469,0.6018
17,18m43s,0.0010,0.0442,0.9858,1.1166,0.7386,0.5983
18,18m43s,0.0010,0.0426,0.9865,1.0808,0.7636,0.6173
19,18m42s,0.0010,0.0444,0.9853,1.1303,0.7494,0.6078
20,18m43s,0.0001,0.0187,0.9954,1.0991,0.7714,0.6232
21,18m42s,0.0001,0.0106,0.9981,1.1147,0.7745,0.6104
22,18m42s,0.0001,0.0083,0.9988,1.1517,0.7806,0.6105
23,18m42s,0.0001,0.0074,0.9989,1.1454,0.7793,0.6125
24,18m42s,0.0001,0.0065,0.9992,1.1483,0.7803,0.6131
25,18m41s,0.0001,0.0060,0.9992,1.1780,0.7831,0.6112
26,18m41s,0.0001,0.0055,0.9995,1.1443,0.7758,0.6080
27,18m43s,0.0001,0.0053,0.9994,1.1574,0.7778,0.6067
28,18m43s,0.0001,0.0048,0.9996,1.1686,0.7789,0.6059
29,18m41s,0.0001,0.0048,0.9995,1.1484,0.7774,0.6088
