epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,37m25s,0.0100,0.8431,0.6246,0.9822,0.5451,0.5524
1,34m0s,0.0100,0.6634,0.7054,0.9336,0.6546,0.6068
2,33m34s,0.0100,0.6247,0.7243,0.9646,0.5979,0.5751
3,33m35s,0.0100,0.5954,0.7395,0.8864,0.6620,0.6060
4,33m6s,0.0100,0.5701,0.7532,0.8908,0.6383,0.6090
5,32m60s,0.0100,0.5482,0.7645,1.0674,0.5094,0.5316
6,33m0s,0.0100,0.5297,0.7744,1.2851,0.4117,0.4394
7,33m3s,0.0100,0.5092,0.7852,1.2720,0.3890,0.4886
8,33m3s,0.0100,0.4911,0.7934,1.1924,0.4588,0.4164
9,32m55s,0.0100,0.4775,0.8001,1.0154,0.5907,0.5390
10,33m5s,0.0010,0.2062,0.9216,0.8605,0.7419,0.6666
11,33m3s,0.0010,0.1141,0.9588,0.9324,0.7465,0.6567
12,32m58s,0.0010,0.0785,0.9730,0.9506,0.7699,0.6748
13,33m7s,0.0010,0.0595,0.9800,1.0034,0.7806,0.6693
14,33m0s,0.0010,0.0481,0.9843,1.0004,0.7729,0.6690
15,33m6s,0.0010,0.0442,0.9859,1.0117,0.7798,0.6698
16,33m3s,0.0010,0.0404,0.9866,1.0138,0.7832,0.6781
17,33m14s,0.0010,0.0395,0.9872,1.0172,0.7855,0.6807
18,33m20s,0.0010,0.0384,0.9875,1.0265,0.7750,0.6587
19,33m1s,0.0010,0.0396,0.9872,0.9977,0.7750,0.6859
20,33m19s,0.0001,0.0163,0.9960,1.0080,0.7948,0.6817
21,32m59s,0.0001,0.0097,0.9983,1.0033,0.7940,0.6896
22,33m8s,0.0001,0.0075,0.9990,1.0349,0.7990,0.6857
23,33m4s,0.0001,0.0068,0.9991,1.0267,0.7999,0.6959
24,33m3s,0.0001,0.0061,0.9992,1.0257,0.7978,0.6824
25,33m15s,0.0001,0.0056,0.9994,1.0354,0.8004,0.6880
26,33m2s,0.0001,0.0052,0.9995,1.0573,0.8010,0.6793
27,33m12s,0.0001,0.0047,0.9996,1.0322,0.8033,0.6981
28,33m4s,0.0001,0.0046,0.9996,1.0296,0.8021,0.6945
29,33m13s,0.0001,0.0044,0.9997,1.0388,0.8025,0.6909
