epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,7m25s,0.0100,0.6999,0.7708,0.6240,0.7978,0.5918
1,7m20s,0.0100,0.6233,0.7954,0.6199,0.7940,0.5543
2,7m29s,0.0100,0.5996,0.8026,0.6233,0.8035,0.6158
3,7m25s,0.0100,0.5883,0.8056,0.5923,0.8048,0.6451
4,7m20s,0.0100,0.5781,0.8077,0.6353,0.7906,0.6374
5,7m22s,0.0100,0.5719,0.8096,0.6366,0.7962,0.5749
6,7m23s,0.0100,0.5701,0.8100,0.6111,0.7974,0.6028
7,7m23s,0.0100,0.5695,0.8096,0.6092,0.7991,0.5574
8,7m24s,0.0100,0.5651,0.8110,0.6170,0.7993,0.6327
9,7m23s,0.0100,0.5640,0.8123,0.6085,0.8006,0.6008
10,7m29s,0.0010,0.4979,0.8341,0.5489,0.8192,0.7067
11,8m44s,0.0010,0.4753,0.8411,0.5519,0.8209,0.7147
12,8m43s,0.0010,0.4603,0.8445,0.5474,0.8218,0.7278
13,8m38s,0.0010,0.4469,0.8493,0.5604,0.8202,0.7080
14,8m37s,0.0010,0.4351,0.8518,0.5640,0.8172,0.7193
15,8m38s,0.0010,0.4227,0.8563,0.5784,0.8173,0.7065
16,8m38s,0.0010,0.4113,0.8596,0.5750,0.8159,0.7115
17,8m38s,0.0010,0.3986,0.8628,0.5904,0.8160,0.7084
18,8m38s,0.0010,0.3852,0.8665,0.6284,0.7942,0.7040
19,8m38s,0.0010,0.3726,0.8708,0.6376,0.7921,0.6911
20,8m38s,0.0001,0.3149,0.8899,0.6349,0.8079,0.7141
21,8m38s,0.0001,0.2956,0.8968,0.6522,0.8085,0.7143
22,8m38s,0.0001,0.2811,0.9018,0.6723,0.8066,0.7072
23,8m38s,0.0001,0.2703,0.9056,0.6877,0.7998,0.7033
24,8m38s,0.0001,0.2606,0.9079,0.7049,0.7957,0.7008
25,8m38s,0.0001,0.2513,0.9113,0.7189,0.7924,0.7031
26,8m38s,0.0001,0.2430,0.9127,0.7367,0.7964,0.7024
27,8m38s,0.0001,0.2358,0.9165,0.7501,0.8014,0.7008
28,8m38s,0.0001,0.2274,0.9199,0.7580,0.7902,0.6974
29,8m38s,0.0001,0.2191,0.9225,0.7807,0.7862,0.6915
