epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,3m20s,0.0100,0.8314,0.6266,0.8704,0.7133,0.5177
1,3m16s,0.0100,0.4846,0.7952,1.0395,0.6334,0.4560
2,3m16s,0.0100,0.3328,0.8670,1.4319,0.5004,0.3644
3,3m21s,0.0100,0.2358,0.9061,1.4142,0.5646,0.5576
4,3m22s,0.0100,0.1738,0.9331,1.2725,0.5915,0.5812
5,3m21s,0.0100,0.1430,0.9465,1.0641,0.7168,0.5930
6,3m15s,0.0100,0.1200,0.9563,1.1559,0.7456,0.5799
7,3m22s,0.0100,0.1065,0.9605,1.2764,0.7948,0.6262
8,3m26s,0.0100,0.0908,0.9681,1.3906,0.7655,0.6000
9,3m32s,0.0100,0.0914,0.9669,1.1308,0.7605,0.6378
10,3m32s,0.0010,0.0243,0.9927,1.2243,0.7969,0.6694
11,3m32s,0.0010,0.0104,0.9974,1.3312,0.7995,0.6714
12,3m27s,0.0010,0.0061,0.9987,1.3989,0.8017,0.6706
13,3m26s,0.0010,0.0057,0.9984,1.4828,0.8032,0.6649
14,3m33s,0.0010,0.0044,0.9988,1.4884,0.8026,0.6745
15,3m27s,0.0010,0.0033,0.9995,1.5153,0.8021,0.6742
16,3m33s,0.0010,0.0031,0.9993,1.5301,0.8017,0.6766
17,3m32s,0.0010,0.0027,0.9996,1.5650,0.8043,0.6766
18,3m36s,0.0010,0.0020,0.9996,1.5857,0.8030,0.6726
19,3m36s,0.0010,0.0018,0.9998,1.6175,0.8053,0.6744
20,3m36s,0.0001,0.0020,0.9997,1.6189,0.8058,0.6723
21,3m36s,0.0001,0.0021,0.9996,1.6394,0.8068,0.6718
22,3m35s,0.0001,0.0016,0.9998,1.6212,0.8060,0.6708
23,3m35s,0.0001,0.0018,0.9995,1.6005,0.8046,0.6727
24,3m36s,0.0001,0.0018,0.9997,1.6025,0.8054,0.6707
25,3m37s,0.0001,0.0015,0.9997,1.6276,0.8059,0.6697
26,3m35s,0.0001,0.0015,0.9998,1.6250,0.8052,0.6755
27,3m35s,0.0001,0.0015,0.9998,1.6520,0.8067,0.6721
28,3m41s,0.0001,0.0014,0.9998,1.6016,0.8045,0.6798
29,3m35s,0.0001,0.0015,0.9997,1.6407,0.8060,0.6708
