epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,19m32s,0.0100,0.8707,0.6075,1.0740,0.4006,0.5076
1,19m28s,0.0100,0.6513,0.7071,1.2582,0.2714,0.4520
2,19m29s,0.0100,0.5910,0.7382,0.9399,0.6121,0.5274
3,19m30s,0.0100,0.5491,0.7624,0.8378,0.6861,0.5908
4,19m29s,0.0100,0.5180,0.7781,1.1083,0.4988,0.5167
5,19m30s,0.0100,0.4872,0.7946,0.8597,0.6581,0.6128
6,19m29s,0.0100,0.4627,0.8071,1.0728,0.5412,0.4559
7,19m28s,0.0100,0.4419,0.8168,1.0199,0.5793,0.5044
8,19m29s,0.0100,0.4228,0.8257,0.7723,0.7600,0.6177
9,19m29s,0.0100,0.4113,0.8307,0.9404,0.6613,0.5756
10,19m28s,0.0010,0.1719,0.9320,1.1129,0.7144,0.5907
11,19m29s,0.0010,0.1056,0.9596,1.1730,0.7234,0.6141
12,19m29s,0.0010,0.0776,0.9712,1.2514,0.7451,0.6115
13,19m28s,0.0010,0.0601,0.9785,1.2549,0.7317,0.6062
14,19m29s,0.0010,0.0503,0.9822,1.2723,0.7722,0.6266
15,19m28s,0.0010,0.0432,0.9850,1.3047,0.7814,0.6404
16,19m27s,0.0010,0.0396,0.9862,1.3181,0.7521,0.6197
17,19m27s,0.0010,0.0375,0.9871,1.3092,0.7483,0.6158
18,19m26s,0.0010,0.0365,0.9875,1.3874,0.7740,0.6176
19,19m26s,0.0010,0.0370,0.9872,1.2760,0.7717,0.6251
20,19m27s,0.0001,0.0194,0.9942,1.3109,0.7821,0.6485
21,19m26s,0.0001,0.0129,0.9966,1.3660,0.7815,0.6445
22,19m26s,0.0001,0.0106,0.9974,1.4071,0.7842,0.6454
23,19m26s,0.0001,0.0089,0.9978,1.4216,0.7854,0.6469
24,19m25s,0.0001,0.0078,0.9982,1.4455,0.7823,0.6455
25,19m26s,0.0001,0.0074,0.9983,1.4576,0.7867,0.6509
26,19m25s,0.0001,0.0065,0.9986,1.4856,0.7872,0.6474
27,19m24s,0.0001,0.0063,0.9986,1.4899,0.7867,0.6457
28,19m24s,0.0001,0.0060,0.9986,1.5108,0.7860,0.6443
29,19m23s,0.0001,0.0053,0.9989,1.5000,0.7863,0.6443
