epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,23m46s,0.0100,0.9009,0.5981,1.3158,0.3373,0.3784
1,23m42s,0.0100,0.7118,0.6808,1.3836,0.2549,0.3324
2,23m42s,0.0100,0.6749,0.7002,0.9924,0.5853,0.5145
3,23m45s,0.0100,0.6466,0.7131,1.0190,0.5368,0.5068
4,23m47s,0.0100,0.6247,0.7253,1.0174,0.5314,0.5346
5,23m46s,0.0100,0.6058,0.7362,1.0950,0.5137,0.4523
6,23m47s,0.0100,0.5884,0.7453,0.8457,0.6841,0.5547
7,23m47s,0.0100,0.5709,0.7542,1.0806,0.4750,0.4913
8,23m46s,0.0100,0.5592,0.7605,1.2537,0.3892,0.4266
9,23m47s,0.0100,0.5430,0.7685,1.0896,0.5182,0.4625
10,23m47s,0.0010,0.2693,0.8938,0.9021,0.7004,0.5859
11,23m47s,0.0010,0.1699,0.9355,0.9437,0.7185,0.5990
12,23m47s,0.0010,0.1248,0.9544,0.9784,0.7325,0.5939
13,23m47s,0.0010,0.0971,0.9655,1.0609,0.7088,0.5515
14,23m46s,0.0010,0.0807,0.9716,1.0578,0.7051,0.5625
15,23m46s,0.0010,0.0702,0.9762,1.0563,0.7439,0.6063
16,23m47s,0.0010,0.0636,0.9783,1.0913,0.7238,0.5911
17,23m47s,0.0010,0.0601,0.9798,1.0740,0.7459,0.5915
18,23m46s,0.0010,0.0549,0.9817,1.0726,0.7593,0.5981
19,23m45s,0.0010,0.0573,0.9807,1.0867,0.7395,0.5914
20,23m45s,0.0001,0.0215,0.9949,1.0806,0.7794,0.6158
21,23m45s,0.0001,0.0126,0.9979,1.0728,0.7748,0.6168
22,23m46s,0.0001,0.0101,0.9985,1.1052,0.7827,0.6209
23,23m42s,0.0001,0.0087,0.9989,1.1073,0.7827,0.6193
24,23m37s,0.0001,0.0076,0.9992,1.1035,0.7812,0.6188
25,23m36s,0.0001,0.0068,0.9993,1.1200,0.7837,0.6183
26,23m36s,0.0001,0.0066,0.9994,1.1364,0.7814,0.6120
27,23m35s,0.0001,0.0061,0.9994,1.1251,0.7822,0.6165
28,23m35s,0.0001,0.0059,0.9994,1.1316,0.7839,0.6174
29,23m34s,0.0001,0.0054,0.9996,1.1351,0.7837,0.6135
