epoch,time,lr,train_loss,train_acc,test_loss,test_acc,cohen_kappa_score
0,37m55s,0.0100,0.8730,0.6093,0.9206,0.6643,0.5559
1,34m8s,0.0100,0.6861,0.6927,0.8156,0.7335,0.6496
2,33m54s,0.0100,0.6476,0.7108,1.3499,0.2442,0.4338
3,33m52s,0.0100,0.6225,0.7248,1.1482,0.4620,0.4439
4,33m37s,0.0100,0.6025,0.7355,1.1200,0.5098,0.4872
5,33m26s,0.0100,0.5846,0.7450,1.1503,0.4220,0.4921
6,33m23s,0.0100,0.5698,0.7525,0.9271,0.6136,0.5640
7,33m19s,0.0100,0.5555,0.7597,1.0392,0.5417,0.5234
8,33m17s,0.0100,0.5419,0.7678,0.7753,0.7430,0.6102
9,33m5s,0.0100,0.5263,0.7747,1.3600,0.3538,0.3510
10,33m3s,0.0010,0.2583,0.8992,0.8993,0.6955,0.6306
11,33m7s,0.0010,0.1588,0.9406,0.9091,0.7196,0.6260
12,33m10s,0.0010,0.1141,0.9589,0.9459,0.7556,0.6527
13,33m5s,0.0010,0.0892,0.9689,0.9842,0.7627,0.6454
14,33m9s,0.0010,0.0731,0.9749,0.9977,0.7643,0.6421
15,33m19s,0.0010,0.0612,0.9797,0.9890,0.7745,0.6639
16,33m26s,0.0010,0.0576,0.9806,1.0118,0.7610,0.6535
17,33m16s,0.0010,0.0542,0.9822,1.0051,0.7679,0.6651
18,33m36s,0.0010,0.0521,0.9832,1.0029,0.7596,0.6543
19,32m56s,0.0010,0.0489,0.9842,1.0133,0.7672,0.6694
20,33m32s,0.0001,0.0206,0.9952,1.0048,0.7931,0.6795
21,33m28s,0.0001,0.0119,0.9980,1.0185,0.7986,0.6842
22,33m54s,0.0001,0.0096,0.9987,1.0264,0.7971,0.6784
23,33m29s,0.0001,0.0080,0.9990,1.0179,0.7972,0.6830
24,33m19s,0.0001,0.0071,0.9992,1.0630,0.8000,0.6777
25,33m32s,0.0001,0.0067,0.9993,1.0486,0.8006,0.6830
26,33m18s,0.0001,0.0063,0.9994,1.0615,0.8037,0.6827
27,33m10s,0.0001,0.0056,0.9995,1.0557,0.8015,0.6791
28,33m10s,0.0001,0.0054,0.9995,1.0273,0.8002,0.6842
29,32m22s,0.0001,0.0051,0.9996,1.0499,0.8019,0.6802
