
Test set: Average loss: 1.6043, Accuracy: 1819/8871 (21%)


Test set: Average loss: 0.8771, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8671, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8690, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8603, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8621, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8596, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8586, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8546, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8542, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8503, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8527, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8449, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8479, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8459, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8574, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8422, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8396, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8443, Accuracy: 6532/8871 (74%)


Test set: Average loss: 0.8379, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8463, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8350, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8365, Accuracy: 6534/8871 (74%)


Test set: Average loss: 0.8341, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8314, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8310, Accuracy: 6534/8871 (74%)


Test set: Average loss: 0.8303, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8320, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8295, Accuracy: 6531/8871 (74%)


Test set: Average loss: 0.8279, Accuracy: 6530/8871 (74%)


Test set: Average loss: 0.8292, Accuracy: 6532/8871 (74%)


Test set: Average loss: 0.8285, Accuracy: 6531/8871 (74%)


Test set: Average loss: 0.8286, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8302, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8266, Accuracy: 6533/8871 (74%)


Test set: Average loss: 0.8262, Accuracy: 6540/8871 (74%)


Test set: Average loss: 0.8232, Accuracy: 6534/8871 (74%)


Test set: Average loss: 0.8271, Accuracy: 6539/8871 (74%)


Test set: Average loss: 0.8256, Accuracy: 6535/8871 (74%)


Test set: Average loss: 0.8242, Accuracy: 6539/8871 (74%)


Test set: Average loss: 0.8238, Accuracy: 6533/8871 (74%)


Test set: Average loss: 0.8234, Accuracy: 6538/8871 (74%)


Test set: Average loss: 0.8260, Accuracy: 6536/8871 (74%)


Test set: Average loss: 0.8239, Accuracy: 6537/8871 (74%)


Test set: Average loss: 0.8322, Accuracy: 6532/8871 (74%)


Test set: Average loss: 0.8231, Accuracy: 6542/8871 (74%)


